# taue, taui, alpha, speed, gei, gii, tauC, pearsonr, sub, flag, status, success
1.686672258513245382e+01,8.786101910099365142e+00,1.000000000000000056e-01,7.976128704351043375e+00,7.404749077138922386e-02,1.074689822227217872e+00,2.000000000000000000e+01,9.060922796702378657e-01,1.500000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.283560558073050473e+01,7.132912832221565580e+00,1.000000000000000056e-01,1.475769625580682742e+01,1.000000000000000021e-03,1.000000000000000000e+00,2.000000000000000000e+01,9.143920394197528889e-01,1.600000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.402761531385960936e+00,2.000000000000000000e+01,7.683046184125541522e-01,2.000000000000000000e+01,2.823911476216458549e-01,1.000000000000000000e+00,2.000000000000000000e+01,9.134990254362806983e-01,1.700000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.079774327508654785e+01,2.000000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e+00,1.000000000000000021e-03,1.000000000000000000e+00,2.000000000000000000e+01,8.701865678100535462e-01,1.800000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.692085145360716858e+00,1.463908916606530397e+01,1.000000000000000000e+00,2.000000000000000000e+01,1.000000000000000021e-03,1.000000000000000000e+00,2.000000000000000000e+01,9.105037832623865679e-01,1.900000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.871796614884825516e+01,8.489090476793904827e+00,9.015746017694322711e-01,2.000000000000000000e+01,1.000000000000000021e-03,1.000000000000000000e+00,2.000000000000000000e+01,9.231432288868179903e-01,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.992251599140065110e+00,2.000000000000000000e+01,1.000000000000000056e-01,1.096186344204580010e+01,1.000000000000000021e-03,1.000000000000000000e+00,1.308189532329951632e+01,8.543994655043700703e-01,2.100000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.285515986767073571e+00,1.760780612359030428e+01,2.718865206407290458e-01,5.776994823637578769e+00,1.000000000000000021e-03,1.000000000000000000e+00,1.588005271693807252e+01,9.166044696217688914e-01,2.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.659327598546795457e+01,8.801068002046754657e+00,4.744801871987853192e-01,1.944940187328529291e+01,1.852615322560325628e-01,1.000000000000000000e+00,2.000000000000000000e+01,9.182430988464127530e-01,2.300000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.805062515077752394e+00,1.996153151348233834e+01,1.000000000000000056e-01,6.916108897423868918e+00,1.000000000000000021e-03,1.000000000000000000e+00,1.101143513355078341e+01,8.040303852655293904e-01,2.400000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
