# taue, taui, alpha, speed, gei, gii, tauC, pearsonr, sub, flag, status, success
8.024516218805683110e+00,1.280503329934613888e+01,1.000000000000000056e-01,1.281856779461351259e+01,1.434452938598707705e+00,5.000000000000000000e+00,1.687159581904217731e+01,9.009159207257181334e-01,1.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.152684605041116583e+00,1.173596856723119330e+01,1.633575148425283896e-01,2.000000000000000000e+01,5.000000000000000000e-01,5.731022487993965298e-01,1.167918776243389978e+01,9.205999817513147443e-01,1.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.410044339267122027e+01,1.888052975275705236e+01,8.744199224713401497e-01,1.930995051781908955e+01,8.231780661821292977e-01,5.000000000000000000e+00,2.000000000000000000e+01,9.168710799436174952e-01,1.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.472871000451551993e+01,1.972407146004642797e+01,1.000000000000000056e-01,1.464229275455373269e+01,5.000000000000000000e-01,8.533517899768739978e-01,2.000000000000000000e+01,8.860969127922038169e-01,1.400000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.935716687549172832e+01,8.296500751776754612e+00,1.000000000000000000e+00,2.000000000000000000e+01,1.180123275883691036e+00,9.724307470651123442e-01,2.000000000000000000e+01,9.062005802597712378e-01,1.500000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.137040906938164397e+00,1.155411182480142429e+01,9.220213525125886544e-01,1.466523326487155643e+01,5.000000000000000000e-01,6.591180266515447306e-01,2.000000000000000000e+01,9.098870110671626321e-01,1.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.738242487328532704e+00,1.506678264946781987e+01,1.000000000000000056e-01,2.000000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e-01,2.000000000000000000e+01,9.134452393833715211e-01,1.700000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.177380789067099798e+01,1.599837048261368189e+01,1.000000000000000056e-01,5.000000000000000000e+00,5.000000000000000000e-01,7.846969659880251857e-01,2.000000000000000000e+01,8.682249768549282765e-01,1.800000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.988443101805093427e+00,1.092360392040747286e+01,1.000000000000000000e+00,2.000000000000000000e+01,5.000000000000000000e-01,7.381438307059329240e-01,2.000000000000000000e+01,9.064072256981967612e-01,1.900000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.577071274774658249e+01,1.784634107420063032e+01,1.000000000000000056e-01,5.824241443627374615e+00,5.000000000000000000e-01,5.000000000000000000e-01,2.000000000000000000e+01,9.248722014792880586e-01,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.254560869063278794e+00,1.401639273148168030e+01,1.000000000000000056e-01,1.112474663411761888e+01,5.000000000000000000e-01,6.048406363743172864e-01,1.300500853938333634e+01,8.536685972618984763e-01,2.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.598315175933511689e+00,1.198499220673788201e+01,8.274802843492071736e-01,5.777585758918587722e+00,5.000000000000000000e-01,6.273368849373734957e-01,1.630468331610693511e+01,9.125174488155106678e-01,2.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
